user_id,name,age,education_level,field_of_study,experience_years,openness,conscientiousness,extraversion,agreeableness,neuroticism,technical_skill,data_reasoning_skill,communication_skill,problem_solving_skill,leadership_skill,creative_thinking_skill,interest_technology,interest_business,interest_creative,interest_health_social,interest_research_academic,preferred_work_style,preferred_environment,risk_tolerance,career_cluster
U00001,,,High School,,1 years,4.0,,2.0,3.0,,2.0,1.0,,3.0,2.0,3.0,15.0,32.0,39.0,24.0,49.0,individual,structured,,Education & Social Impact
U00002,,,High School,Computer Science,0 years,5.0,3.0,3.0,2.0,,2.0,0.0,3.0,3.0,2.0,2.0,53.0,39.0,74.0,52.0,26.0,individual,flexible,low,Design & Creative Media
U00003,Anika Patel,24.0,Graduate,Psychology,0 years,2.0,4.0,3.0,4.0,2.0,1.0,0.0,2.0,3.0,4.0,3.0,17.0,43.0,81.0,29.0,54.0,collaborative,flexible,low,Design & Creative Media
U00004,Joseph Sharma,27.0,High School,Psychology,2 years,3.0,3.0,3.0,4.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,55.0,83.0,33.0,45.0,68.0,individual,flexible,medium,Business & Management
U00005,Anika Iyer,23.0,Graduate,IT,3 years,1.0,4.0,3.0,3.0,3.0,0.0,1.0,3.0,5.0,2.0,2.0,34.0,54.0,38.0,32.0,52.0,collaborative,structured,high,Healthcare & Life Sciences
U00006,Daniel Brown,24.0,Graduate,Design,2 years,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,46.0,73.0,34.0,68.0,47.0,individual,structured,high,Finance & Economics
U00007,Rohan Singh,24.0,High School,Psychology,1 years,2.0,3.0,3.0,5.0,2.0,3.0,2.0,1.0,5.0,3.0,3.0,35.0,94.0,25.0,48.0,77.0,collaborative,flexible,high,Business & Management
U00008,Joseph Brown,21.0,High School,Biology,1 years,4.0,3.0,1.0,4.0,1.0,3.0,2.0,4.0,3.0,2.0,3.0,47.0,67.0,68.0,15.0,47.0,individual,structured,high,Entrepreneurship & Freelance
U00009,Neha Wilson,24.0,Undergraduate,Design,2 years,2.0,2.0,3.0,4.0,3.0,2.0,1.0,3.0,4.0,2.0,4.0,39.0,38.0,51.0,25.0,56.0,collaborative,structured,low,Education & Social Impact
U00010,Joseph Wilson,27.0,Undergraduate,IT,1 years,4.0,4.0,3.0,5.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,68.0,65.0,69.0,36.0,85.0,individual,flexible,low,Entrepreneurship & Freelance
